Correct: 82266
Total: 82578
99.6221753978057%
F1: 0.9962217539780571
word		gold	hyp
hibakusha		B-OTHER	O
post		O	B-ENG
disc		B-ENG	O
-		I-ENG	O
jockeys		I-ENG	O
chips		I-ENG	B-ENG
coupage		B-OTHER	O
rock		O	B-ENG
blues		B-ENG	O
woman		I-ENG	O
carter		B-ENG	O
cotten		B-ENG	O
vibrations		O	I-ENG
rock		O	B-ENG
signature		B-ENG	O
spin		B-ENG	O
doctor		I-ENG	O
madame		B-OTHER	O
whatsapps		O	B-ENG
whistleblower		B-ENG	O
car		B-ENG	O
sharing		I-ENG	B-ENG
breaking		O	B-ENG
far		B-ENG	O
street		O	B-ENG
camper		B-ENG	O
rave		B-ENG	O
rave		B-ENG	O
rider		B-ENG	O
web		I-ENG	O
yakuza		B-OTHER	O
web		I-ENG	O
crystal		B-ENG	O
ups		I-ENG	B-ENG
-		I-ENG	O
jeans		B-ENG	O
on		B-ENG	O
–		I-ENG	O
line		I-ENG	O
slogan		B-ENG	O
hall		B-ENG	O
sellers		I-ENG	B-ENG
prodest		O	I-ENG
boy		B-ENG	O
k		B-ENG	O
-		I-ENG	O
pop		I-ENG	O
techno		B-ENG	O
dance		B-ENG	O
rock		O	B-ENG
cover		I-ENG	O
streetdance		B-ENG	O
power		I-ENG	O
k		B-ENG	O
-		I-ENG	O
pop		I-ENG	O
k		B-ENG	O
-		I-ENG	O
pop		I-ENG	O
idol		B-ENG	O
portfolio		B-ENG	O
prime		B-ENG	O
time		I-ENG	O
outsider		B-ENG	O
pool		B-ENG	O
roadtrip		B-ENG	O
diner		B-ENG	O
vintage		B-ENG	O
shichimi		B-OTHER	O
togarashi		I-OTHER	O
gochujang		B-OTHER	O
kimchi		B-OTHER	O
shit		O	B-ENG
whataboutism		B-ENG	O
whataboutism		B-ENG	O
kid		O	I-ENG
kid		O	I-ENG
sensei		B-OTHER	O
miso		B-OTHER	O
kombucha		B-OTHER	O
kimchi		B-OTHER	O
