Correct: 82254
Total: 82578
99.6076436823367%
F1: 0.996076436823367
word		gold	hyp
hibakusha		B-OTHER	O
off		B-ENG	O
post		O	B-ENG
disc		B-ENG	O
-		I-ENG	O
jockeys		I-ENG	O
chips		I-ENG	B-ENG
coupage		B-OTHER	O
rock		O	B-ENG
blues		B-ENG	O
woman		I-ENG	O
carter		B-ENG	O
cotten		B-ENG	O
picking		I-ENG	B-ENG
vibrations		O	I-ENG
rock		O	B-ENG
signature		B-ENG	O
endorser		B-ENG	O
spin		B-ENG	O
doctor		I-ENG	O
madame		B-OTHER	O
whatsapps		O	B-ENG
whistleblower		B-ENG	O
car		B-ENG	O
sharing		I-ENG	B-ENG
breaking		O	B-ENG
far		B-ENG	O
street		O	B-ENG
camper		B-ENG	O
rave		B-ENG	O
rave		B-ENG	O
rider		B-ENG	O
web		I-ENG	O
yakuza		B-OTHER	O
web		I-ENG	O
crystal		B-ENG	O
ups		I-ENG	B-ENG
-		I-ENG	O
jeans		B-ENG	O
on		B-ENG	O
–		I-ENG	O
line		I-ENG	O
slogan		B-ENG	O
hall		B-ENG	O
sellers		I-ENG	B-ENG
prodest		O	I-ENG
párking		O	B-ENG
boy		B-ENG	O
k		B-ENG	O
-		I-ENG	O
pop		I-ENG	O
techno		B-ENG	O
dance		B-ENG	O
rock		O	B-ENG
cover		I-ENG	O
streetdance		B-ENG	O
power		I-ENG	O
k		B-ENG	O
-		I-ENG	O
pop		I-ENG	O
k		B-ENG	O
-		I-ENG	O
pop		I-ENG	O
idol		B-ENG	O
portfolio		B-ENG	O
prime		B-ENG	O
time		I-ENG	O
outsider		B-ENG	O
pool		B-ENG	O
roadtrip		B-ENG	O
diner		B-ENG	O
vintage		B-ENG	O
shichimi		B-OTHER	O
togarashi		I-OTHER	O
gochujang		B-OTHER	O
kimchi		B-OTHER	O
whataboutism		B-ENG	O
what		O	B-ENG
sensei		B-OTHER	O
miso		B-OTHER	O
kombucha		B-OTHER	O
kimchi		B-OTHER	O
impeachment		B-ENG	O
solveig		O	B-ENG
hail		O	B-ENG
hail		O	B-ENG
hail		O	B-ENG
cupaires		B-OTHER	O
tears		O	B-ENG
hashtags		B-ENG	O
millennial		B-ENG	O
chikin		B-OTHER	O
dak		B-OTHER	B-ENG
gangjeong		I-OTHER	I-ENG
impeachment		B-ENG	O
and		O	I-ENG
lifejackets		O	B-ENG
remake		B-ENG	O
blueberry		O	B-ENG
super		O	B-ENG
skunk		O	I-ENG
goxua		B-OTHER	O
-		I-ENG	O
right		I-ENG	O
photo		B-ENG	O
-		I-ENG	O
music		B-ENG	O
hall		I-ENG	O
queen		I-ENG	O
call		O	B-ENG
frikies		O	B-ENG
real		B-ENG	O
estate		I-ENG	O
investment		I-ENG	O
trusts		I-ENG	B-ENG
déjà		B-OTHER	O
